molecule_chembl_id,canonical_smiles,standard_value,curated_smiles,pIC50,inchikey
CHEMBL1643340,COc1cc(CCC(=O)O[C@H]2CC[C@H](N(C)[C@H]3CC[C@@H](OC(=O)c4cc(OC)c(OC)c(OC)c4)CC3)CC2)cc(OC)c1OC,630.0,COc1cc(CCC(=O)O[C@H]2CC[C@H](N(C)[C@H]3CC[C@@H](OC(=O)c4cc(OC)c(OC)c(OC)c4)CC3)CC2)cc(OC)c1OC,6.200659450546418,JXCYICKXOWATCA-HDDLTCNGSA-N
CHEMBL4758557,Cc1ccc(Nc2cc(C)nc3nc(SCc4nc5ccccc5[nH]4)nn23)c(F)c1,630.0,Cc1ccc(Nc2cc(C)nc3nc(SCc4nc5ccccc5[nH]4)nn23)c(F)c1,6.200659450546418,DUXBLFFZWQFTIM-UHFFFAOYSA-N
CHEMBL5423562,COc1ccc(C(=O)Nc2ccc(-c3ccc4[nH]c(C(=O)N5CCc6cc(OC)c(OC)cc6C5)cc4c3)cc2)cc1,632.0,COc1ccc(C(=O)Nc2ccc(-c3ccc4[nH]c(C(=O)N5CCc6cc(OC)c(OC)cc6C5)cc4c3)cc2)cc1,6.199282921717615,ZXVZUFFWWHSEOB-UHFFFAOYSA-N
CHEMBL3233492,COc1cc(C(=O)/C=C/c2ccccc2SC)cc(OC)c1OC,645.65,COc1cc(C(=O)/C=C/c2ccccc2SC)cc(OC)c1OC,6.190002844637807,FJEPVWRSTPJHGA-MDZDMXLPSA-N
CHEMBL409234,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccc4ncccc4c3)cc1)CC2,650.0,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccc4ncccc4c3)cc1)CC2,6.187086643357144,CQDVKUSRUIHSQR-UHFFFAOYSA-N
CHEMBL2058784,Cc1cccc(N2CCN(CC(O)COc3ccc(C(=O)c4ccccc4)cc3)CC2)c1C,650.0,Cc1cccc(N2CCN(CC(O)COc3ccc(C(=O)c4ccccc4)cc3)CC2)c1C,6.187086643357144,MOPMTTNZFNAOHN-UHFFFAOYSA-N
CHEMBL272836,COc1cccc(CCc2ccccc2OCc2ccc(OC)c(OC)c2)c1,650.0,COc1cccc(CCc2ccccc2OCc2ccc(OC)c(OC)c2)c1,6.187086643357144,VGVVMHKOBMJFEB-UHFFFAOYSA-N
CHEMBL4437626,CC(=O)Nc1cccc(Nc2cc(-c3ccccc3)nc3ccccc23)c1,660.0,CC(=O)Nc1cccc(Nc2cc(-c3ccccc3)nc3ccccc23)c1,6.180456064458132,MNCWMFWUVKUNLT-UHFFFAOYSA-N
CHEMBL3317924,COc1ccc(C(=O)Nc2ccc(-c3cccnc3)cc2F)c(OC)c1OC,670.0,COc1ccc(C(=O)Nc2ccc(-c3cccnc3)cc2F)c(OC)c1OC,6.173925197299173,YUKAHJKGUHIFIQ-UHFFFAOYSA-N
CHEMBL473794,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)/C=C/c3ccc(Cl)cc3)cc1)CC2,670.0,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)/C=C/c3ccc(Cl)cc3)cc1)CC2,6.173925197299173,HPERWTYTDIGYGD-KPKJPENVSA-N
CHEMBL4642247,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)/C=C/c3ccc(Oc4ccc(-c5ccccn5)cc4Br)nc3)cc1)CC2,700.0,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)/C=C/c3ccc(Oc4ccc(-c5ccccn5)cc4Br)nc3)cc1)CC2,6.154901959985743,TWENHOBJZSCMJB-RIYZIHGNSA-N
CHEMBL4215931,CC(C)[C@H](NC(=O)[C@H](CO)NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)O,700.0,CC(C)[C@H](NC(=O)[C@H](CO)NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)O,6.154901959985743,TYFLVOUZHQUBGM-IHRRRGAJSA-N
CHEMBL4794029,Cc1cc(Nc2ccc(Cl)cc2Cl)n2nc(SCc3nc4ccccc4[nH]3)nc2n1,710.0,Cc1cc(Nc2ccc(Cl)cc2Cl)n2nc(SCc3nc4ccccc4[nH]3)nc2n1,6.1487416512809245,VHLFDZJCTDWECH-UHFFFAOYSA-N
CHEMBL3263842,COc1cc(C(=O)N[C@H](c2nc(C(=O)Nc3ccccc3C(=O)c3ccccc3)cs2)C(C)C)cc(OC)c1OC,720.0,COc1cc(C(=O)N[C@H](c2nc(C(=O)Nc3ccccc3C(=O)c3ccccc3)cs2)C(C)C)cc(OC)c1OC,6.142667503568731,VUSXKXGCZNKQFS-SANMLTNESA-N
CHEMBL4778534,Cc1cc(Nc2ccc(OC(F)(F)F)cc2)n2nc(SCc3nc4ccccc4[nH]3)nc2n1,720.0,Cc1cc(Nc2ccc(OC(F)(F)F)cc2)n2nc(SCc3nc4ccccc4[nH]3)nc2n1,6.142667503568731,PYFGOOUDDKHTTH-UHFFFAOYSA-N
CHEMBL3704745,C/C=C/CC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)C(C)C(=O)N(CC)C(C(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C,720.0,C/C=C/CC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)C(C)C(=O)N(CC)C(C(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C,6.142667503568731,OLROWHGDTNFZBH-PBBVDAKRSA-N
